Name,Category,Region,County,Facility,Availability,Facility.URL,Golf.URL,Nature.Center.URL,Longitude,Latitude,Location
Darien Lakes,State Park,3,Genesee,Playground,Available,http://nysparks.com/parks/144/details.aspx,,,-78.4114923,42.91181416,"(42.91181415730, -78.41149229790)"
Genesee River,Other,3,Monroe,Playground,Not Available,,,,-77.61431271,43.23058471,"(43.23058470660, -77.61431270980)"
Hamlin Beach,State Park,3,Monroe,Playground,Available,http://nysparks.com/parks/20/details.aspx,,,-77.95509767,43.3600913,"(43.36009130140, -77.95509767050)"
Irondequoit Bay Marine Park,Marine Facility,3,Monroe,Playground,Not Available,http://nysparks.com/parks/100/details.aspx,,,-77.53971069,43.23186953,"(43.23186953420, -77.53971068810)"
Lakeside Beach,State Park,3,Orleans,Playground,Available,http://nysparks.com/parks/161/details.aspx,,,-78.24370249,43.36638358,"(43.36638358220, -78.24370248780)"
Letchworth,State Park,3,Liv/Wyo,Playground,Available,http://nysparks.com/parks/79/details.aspx,,,-77.97576922,42.64592135,"(42.64592134880, -77.97576922360)"
Oak Orchard Marine Park,Marine Facility,3,Orleans,Playground,Not Available,http://nysparks.com/parks/131/details.aspx,,,-78.20101906,43.36810547,"(43.36810546950, -78.20101905880)"
Silver Lake,State Park,3,Wyoming,Playground,Not Available,http://nysparks.com/parks/104/details.aspx,,,-78.05656098,42.67925422,"(42.67925421890, -78.05656097830)"
Allan H. Treman,Marine Facility,4,Tompkins,Playground,Not Available,http://nysparks.com/parks/35/details.aspx,,,-76.51756817,42.46139668,"(42.46139668170, -76.51756817400)"
Beechwood,State Park,4,Wayne,Playground,Not Available,,,,-77.0337933,43.26669446,"(43.26669445500, -77.03379330370)"
Bonavista,State Park,4,Seneca,Playground,Not Available,http://nysparks.com/parks/160/details.aspx,http://nysparks.com/golf-courses/10/details.aspx,,-76.86772498,42.67319422,"(42.67319421710, -76.86772497930)"
Buttermilk Falls,State Park,4,Tompkins,Playground,Available,http://nysparks.com/parks/151/details.aspx,,,-76.51225664,42.40402596,"(42.40402595950, -76.51225663690)"
Canandaigua Lake Marine Park,Marine Facility,4,Ontario,Playground,Not Available,http://nysparks.com/parks/3/details.aspx,,,-77.2756828,42.87666859,"(42.87666859390, -77.27568279700)"
Cayuga Lake,State Park,4,Seneca,Playground,Available,http://nysparks.com/parks/123/details.aspx,,,-76.75531185,42.89795191,"(42.89795190730, -76.75531185020)"
Chimney Bluffs,State Park,4,Wayne,Playground,Not Available,http://nysparks.com/parks/43/details.aspx,,,-76.9170242,43.28094552,"(43.28094551730, -76.91702420280)"
Deans Cove Boat Launch,Marine Facility,4,Seneca,Playground,Not Available,http://nysparks.com/parks/63/details.aspx,,,-76.76872924,42.74446151,"(42.74446150760, -76.76872923760)"
Fair Haven Beach,State Park,4,Cayuga,Playground,Available,http://nysparks.com/parks/12/details.aspx,http://nysparks.com/golf-courses/9/details.aspx,,-76.69131068,43.34170812,"(43.34170812210, -76.69131068280)"
Fillmore Glen,State Park,4,Cayuga,Playground,Available,http://nysparks.com/parks/157/details.aspx,,,-76.38800625,42.69096898,"(42.69096898080, -76.38800624500)"
Ganondagon,State Historic Site,4,Ontario,Playground,Not Available,http://nysparks.com/historic-sites/26/details.aspx,,,-77.42206824,42.96482987,"(42.96482986650, -77.42206824230)"
Harriet Hollister Spencer,State Park,4,Ontario,Playground,Not Available,http://nysparks.com/parks/164/details.aspx,,,-77.51547809,42.688112,"(42.68811200300, -77.51547808690)"
Honeoye Marine Park,Marine Facility,4,Ontario,Playground,Not Available,http://nysparks.com/parks/162/details.aspx,,,-77.50457815,42.72575402,"(42.72575401990, -77.50457814970)"
Indian Hills,State Park,4,Steuben,Playground,Not Available,,http://nysparks.com/golf-courses/19/details.aspx,,-77.15476554,42.09305489,"(42.09305489030, -77.15476553570)"
Keuka Lake,State Park,4,Yates,Playground,Available,http://nysparks.com/parks/67/details.aspx,,,-77.12858336,42.58218255,"(42.58218255220, -77.12858335890)"
Lodi Point Marine Park,Marine Facility,4,Seneca,Playground,Available,http://nysparks.com/parks/89/details.aspx,,,-76.87683054,42.61824659,"(42.61824658550, -76.87683054420)"
Long Point,State Park,4,Cayuga,Playground,Available,http://nysparks.com/parks/170/details.aspx,,,-76.69840928,42.71741104,"(42.71741104130, -76.69840928250)"
Mark Twain,State Park,4,Chemung,Playground,Not Available,http://nysparks.com/parks/138/details.aspx,http://nysparks.com/golf-courses/3/details.aspx,,-76.83569091,42.21166069,"(42.21166069400, -76.83569091250)"
Newtown Battlefield,State Park,4,Chemung,Playground,Available,http://nysparks.com/parks/107/details.aspx,,,-76.73631727,42.04902652,"(42.04902651830, -76.73631726940)"
Parrot Hall,State Historic Site,4,Ontario,Playground,Not Available,,,,-77.00881425,42.87677396,"(42.87677395780, -77.00881424770)"
Pinnacle,State Park,4,Steuben,Playground,Not Available,http://nysparks.com/parks/4/details.aspx,http://nysparks.com/golf-courses/16/details.aspx,,-77.21456092,42.09735297,"(42.09735296920, -77.21456092280)"
Robert H. Treman,State Park,4,Tompkins,Playground,Available,http://nysparks.com/parks/135/details.aspx,,,-76.57954421,42.40057564,"(42.40057563940, -76.57954420760)"
Sampson,State Park,4,Seneca,Playground,Available,http://nysparks.com/parks/154/details.aspx,,,-76.9013257,42.72549002,"(42.72549001870, -76.90132570350)"
Seneca Lake,State Park,4,Ont/Sen,Playground,Available,http://nysparks.com/parks/125/details.aspx,,,-76.95454977,42.8739501,"(42.87395009670, -76.95454977080)"
Sonnenberg Gardens and Mansion,State Historic Park,4,Ontario,Playground,Not Available,http://nysparks.com/historic-sites/36/details.aspx,,,-77.2721596,42.89814677,"(42.89814677360, -77.27215960070)"
Stony Brook,State Park,4,Steuben,Playground,Available,http://nysparks.com/parks/118/details.aspx,,,-77.69296639,42.51855953,"(42.51855952910, -77.69296639290)"
Taughannock Falls,State Park,4,Tompkins,Playground,Available,http://nysparks.com/parks/62/details.aspx,,,-76.60976708,42.54073824,"(42.54073823840, -76.60976708320)"
Two Rivers,State Park,4,Tioga,Playground,Not Available,http://nysparks.com/parks/179/details.aspx,,,-76.54731999,42.02516355,"(42.02516354530, -76.54731999330)"
Watkins Glen,State Park,4,Schuyler,Playground,Available,http://nysparks.com/parks/142/details.aspx,,,-76.90013376,42.36753974,"(42.36753973990, -76.90013375860)"
Battle Island,State Park,5,Oswego,Playground,Not Available,http://nysparks.com/parks/44/details.aspx,http://nysparks.com/golf-courses/5/details.aspx,,-76.43604418,43.36167093,"(43.36167093380, -76.43604418290)"
Betty & Wilbur Davis,State Park,5,Otsego,Playground,Not Available,http://nysparks.com/parks/85/details.aspx,,,-74.83290982,42.66363969,"(42.66363969420, -74.83290982380)"
Bowman Lake,State Park,5,Chenango,Playground,Available,http://nysparks.com/parks/76/details.aspx,,,-75.6806338,42.51998474,"(42.51998473800, -75.68063380290)"
Canadarago Boat Marine Park,Marine Facility,5,Otsego,Playground,Not Available,,,,-75.01371176,42.81869731,"(42.81869731080, -75.01371176200)"
Chenango Valley,State Park,5,Broome,Playground,Available,http://nysparks.com/parks/41/details.aspx,http://nysparks.com/golf-courses/20/details.aspx,,-75.83623684,42.21554025,"(42.21554025070, -75.83623684010)"
Chittenango Falls,State Park,5,Madison,Playground,Available,http://nysparks.com/parks/130/details.aspx,,,-75.84665631,42.98148474,"(42.98148473660, -75.84665631290)"
Clark Reservation,State Park,5,Onondaga,Playground,Available,http://nysparks.com/parks/126/details.aspx,,,-76.09300044,42.9975225,"(42.99752250310, -76.09300043590)"
Delta Lake,State Park,5,Oneida,Playground,Available,http://nysparks.com/parks/66/details.aspx,,,-75.42187224,43.29096558,"(43.29096558100, -75.42187224350)"
Fort Ontario,State Historic Site,5,Oswego,Playground,Not Available,http://nysparks.com/historic-sites/20/details.aspx,,,-76.50744715,43.46612424,"(43.46612424410, -76.50744715030)"
Gilbert Lake,State Park,5,Otsego,Playground,Available,http://nysparks.com/parks/19/details.aspx,,,-75.13246312,42.586584,"(42.58658399600, -75.13246312460)"
