Name,Category,Region,County,Facility,Availability,Facility.URL,Golf.URL,Nature.Center.URL,Longitude,Latitude,Location
Amherst,State Park,1,Erie,Golf,Not Available,,,,-78.74808818,42.97100087,"(42.97100087300, -78.74808818390)"
Beaver Island,State Park,1,Erie,Golf,Available,http://nysparks.com/parks/56/details.aspx,http://nysparks.com/golf-courses/4/details.aspx,http://www.nysparks.com/environment/nature-centers/11/details.aspx,-78.95310636,42.96576594,"(42.96576593970, -78.95310636330)"
Big Six Mile Creek Marina,Marine Facility,1,Erie,Golf,Not Available,http://nysparks.com/parks/50/details.aspx,,,-79.0109877,43.02319516,"(43.02319515750, -79.01098770030)"
Buckhorn Island,State Park,1,Erie,Golf,Not Available,http://nysparks.com/parks/174/details.aspx,,,-78.98074732,43.05851648,"(43.05851647910, -78.98074732480)"
Darwin Martin House,State Historic Site,1,Erie,Golf,Available,http://nysparks.com/historic-sites/35/details.aspx,,,-78.8480452,42.93609209,"(42.93609208890, -78.84804520450)"
DeVeaux Woods,State Park,1,Erie,Golf,Not Available,http://nysparks.com/parks/11/details.aspx,,,-79.05874318,43.1194168,"(43.11941679870, -79.05874317650)"
Devil's Hole,State Park,1,Niagara,Golf,Not Available,http://nysparks.com/parks/42/details.aspx,,,-79.0459607,43.13463185,"(43.13463185450, -79.04596070110)"
Earl W. Brydges Artpark,State Park,1,Niagara,Golf,Available,http://nysparks.com/parks/113/details.aspx,,,-79.04192821,43.16561822,"(43.16561822460, -79.04192820690)"
Evangola,State Park,1,Erie,Golf,Not Available,http://nysparks.com/parks/91/details.aspx,,,-79.10185926,42.60579936,"(42.60579935850, -79.10185925780)"
Fort Niagara,State Park,1,Niagara,Golf,Not Available,http://nysparks.com/parks/175/details.aspx,,,-79.05258585,43.26163494,"(43.26163493740, -79.05258585060)"
Four Mile Creek,State Park,1,Niagara,Golf,Not Available,http://nysparks.com/parks/6/details.aspx,,,-78.99746851,43.27437645,"(43.27437644850, -78.99746851150)"
Golden Hill,State Park,1,Niagara,Golf,Not Available,http://nysparks.com/parks/143/details.aspx,,,-78.48015886,43.36946168,"(43.36946167910, -78.48015885640)"
Joseph Davis,State Park,1,Niagara,Golf,Not Available,http://nysparks.com/parks/45/details.aspx,,,-79.03992446,43.21412115,"(43.21412114900, -79.03992445770)"
Knox Farm,State Park,1,Erie,Golf,Available,http://nysparks.com/parks/163/details.aspx,,,-78.64774994,42.77386727,"(42.77386726570, -78.64774993590)"
Niagara Falls,State Park,1,Niagara,Golf,Available,http://nysparks.com/parks/46/details.aspx,,,-79.06701953,43.0867482,"(43.08674820210, -79.06701953470)"
Old Fort Niagara,State Historic Site,1,Niagara,Golf,Not Available,http://nysparks.com/historic-sites/31/details.aspx,,,-79.06311435,43.26259391,"(43.26259391080, -79.06311434890)"
Reservoir,State Park,1,Niagara,Golf,Not Available,http://nysparks.com/parks/75/details.aspx,,,-79.01503815,43.13401154,"(43.13401154410, -79.01503814730)"
Strawberry Island,Other,1,Erie,Golf,Available,,,,-78.92249742,42.95394906,"(42.95394905960, -78.92249742120)"
Whirlpool,State Park,1,Niagara,Golf,Not Available,http://nysparks.com/parks/105/details.aspx,,,-79.06341797,43.12040048,"(43.12040047670, -79.06341796780)"
Wilson-Tuscarora,State Park,1,Niagara,Golf,Not Available,http://nysparks.com/parks/69/details.aspx,,,-78.85560888,43.30377729,"(43.30377729260, -78.85560888360)"
Woodlawn Beach,State Park,1,Erie,Golf,Not Available,http://nysparks.com/parks/47/details.aspx,,http://www.nysparks.com/environment/nature-centers/10/details.aspx,-78.85220785,42.7938189,"(42.79381890080, -78.85220784890)"
Allegany,State Park,2,Cattaraugus,Golf,Not Available,http://nysparks.com/parks/136/details.aspx,,http://www.nysparks.com/environment/nature-centers/12/details.aspx,-78.76855865,42.05475752,"(42.05475752110, -78.76855864730)"
Lake Erie,State Park,2,Chautauqua,Golf,Not Available,http://nysparks.com/parks/129/details.aspx,,,-79.43141787,42.42289079,"(42.42289078970, -79.43141787300)"
Long Point,State Park,2,Chautauqua,Golf,Available,http://nysparks.com/parks/109/details.aspx,,,-79.4109114,42.17876065,"(42.17876065240, -79.41091140450)"
Midway,State Park,2,Chautauqua,Golf,Not Available,http://nysparks.com/parks/167/details.aspx,,,-79.4224274,42.20087248,"(42.20087248010, -79.42242740360)"
Braddock Bay,State Park,3,Monroe,Golf,Available,,,,-77.70386572,43.29419545,"(43.29419545260, -77.70386571640)"
Canal Park Lock 32,Other,3,Monroe,Golf,Not Available,,,,-77.54634101,43.09255115,"(43.09255115210, -77.54634100980)"
Conesus Lake Marine Park,Marine Facility,3,Livingston,Golf,Available,http://nysparks.com/parks/71/details.aspx,,,-77.7116005,42.77580615,"(42.77580615110, -77.71160049680)"
Darien Lakes,State Park,3,Genesee,Golf,Not Available,http://nysparks.com/parks/144/details.aspx,,,-78.4114923,42.91181416,"(42.91181415730, -78.41149229790)"
Genesee River,Other,3,Monroe,Golf,Available,,,,-77.61431271,43.23058471,"(43.23058470660, -77.61431270980)"
Hamlin Beach,State Park,3,Monroe,Golf,Not Available,http://nysparks.com/parks/20/details.aspx,,,-77.95509767,43.3600913,"(43.36009130140, -77.95509767050)"
Irondequoit Bay Marine Park,Marine Facility,3,Monroe,Golf,Not Available,http://nysparks.com/parks/100/details.aspx,,,-77.53971069,43.23186953,"(43.23186953420, -77.53971068810)"
Lakeside Beach,State Park,3,Orleans,Golf,Available,http://nysparks.com/parks/161/details.aspx,,,-78.24370249,43.36638358,"(43.36638358220, -78.24370248780)"
Letchworth,State Park,3,Liv/Wyo,Golf,Available,http://nysparks.com/parks/79/details.aspx,,,-77.97576922,42.64592135,"(42.64592134880, -77.97576922360)"
Oak Orchard Marine Park,Marine Facility,3,Orleans,Golf,Not Available,http://nysparks.com/parks/131/details.aspx,,,-78.20101906,43.36810547,"(43.36810546950, -78.20101905880)"
Silver Lake,State Park,3,Wyoming,Golf,Not Available,http://nysparks.com/parks/104/details.aspx,,,-78.05656098,42.67925422,"(42.67925421890, -78.05656097830)"
Allan H. Treman,Marine Facility,4,Tompkins,Golf,Not Available,http://nysparks.com/parks/35/details.aspx,,,-76.51756817,42.46139668,"(42.46139668170, -76.51756817400)"
Beechwood,State Park,4,Wayne,Golf,Not Available,,,,-77.0337933,43.26669446,"(43.26669445500, -77.03379330370)"
Bonavista,State Park,4,Seneca,Golf,Available,http://nysparks.com/parks/160/details.aspx,http://nysparks.com/golf-courses/10/details.aspx,,-76.86772498,42.67319422,"(42.67319421710, -76.86772497930)"
Buttermilk Falls,State Park,4,Tompkins,Golf,Not Available,http://nysparks.com/parks/151/details.aspx,,,-76.51225664,42.40402596,"(42.40402595950, -76.51225663690)"
Canandaigua Lake Marine Park,Marine Facility,4,Ontario,Golf,Not Available,http://nysparks.com/parks/3/details.aspx,,,-77.2756828,42.87666859,"(42.87666859390, -77.27568279700)"
Cayuga Lake,State Park,4,Seneca,Golf,Available,http://nysparks.com/parks/123/details.aspx,,,-76.75531185,42.89795191,"(42.89795190730, -76.75531185020)"
Chimney Bluffs,State Park,4,Wayne,Golf,Not Available,http://nysparks.com/parks/43/details.aspx,,,-76.9170242,43.28094552,"(43.28094551730, -76.91702420280)"
Deans Cove Boat Launch,Marine Facility,4,Seneca,Golf,Not Available,http://nysparks.com/parks/63/details.aspx,,,-76.76872924,42.74446151,"(42.74446150760, -76.76872923760)"
Fair Haven Beach,State Park,4,Cayuga,Golf,Available,http://nysparks.com/parks/12/details.aspx,http://nysparks.com/golf-courses/9/details.aspx,,-76.69131068,43.34170812,"(43.34170812210, -76.69131068280)"
Fillmore Glen,State Park,4,Cayuga,Golf,Not Available,http://nysparks.com/parks/157/details.aspx,,,-76.38800625,42.69096898,"(42.69096898080, -76.38800624500)"
Ganondagon,State Historic Site,4,Ontario,Golf,Not Available,http://nysparks.com/historic-sites/26/details.aspx,,,-77.42206824,42.96482987,"(42.96482986650, -77.42206824230)"
Harriet Hollister Spencer,State Park,4,Ontario,Golf,Not Available,http://nysparks.com/parks/164/details.aspx,,,-77.51547809,42.688112,"(42.68811200300, -77.51547808690)"
Honeoye Marine Park,Marine Facility,4,Ontario,Golf,Not Available,http://nysparks.com/parks/162/details.aspx,,,-77.50457815,42.72575402,"(42.72575401990, -77.50457814970)"
Indian Hills,State Park,4,Steuben,Golf,Available,,http://nysparks.com/golf-courses/19/details.aspx,,-77.15476554,42.09305489,"(42.09305489030, -77.15476553570)"
Keuka Lake,State Park,4,Yates,Golf,Not Available,http://nysparks.com/parks/67/details.aspx,,,-77.12858336,42.58218255,"(42.58218255220, -77.12858335890)"
Lodi Point Marine Park,Marine Facility,4,Seneca,Golf,Not Available,http://nysparks.com/parks/89/details.aspx,,,-76.87683054,42.61824659,"(42.61824658550, -76.87683054420)"
Long Point,State Park,4,Cayuga,Golf,Not Available,http://nysparks.com/parks/170/details.aspx,,,-76.69840928,42.71741104,"(42.71741104130, -76.69840928250)"
Mark Twain,State Park,4,Chemung,Golf,Available,http://nysparks.com/parks/138/details.aspx,http://nysparks.com/golf-courses/3/details.aspx,,-76.83569091,42.21166069,"(42.21166069400, -76.83569091250)"
Newtown Battlefield,State Park,4,Chemung,Golf,Not Available,http://nysparks.com/parks/107/details.aspx,,,-76.73631727,42.04902652,"(42.04902651830, -76.73631726940)"
Parrot Hall,State Historic Site,4,Ontario,Golf,Not Available,,,,-77.00881425,42.87677396,"(42.87677395780, -77.00881424770)"
Pinnacle,State Park,4,Steuben,Golf,Available,http://nysparks.com/parks/4/details.aspx,http://nysparks.com/golf-courses/16/details.aspx,,-77.21456092,42.09735297,"(42.09735296920, -77.21456092280)"
Robert H. Treman,State Park,4,Tompkins,Golf,Not Available,http://nysparks.com/parks/135/details.aspx,,,-76.57954421,42.40057564,"(42.40057563940, -76.57954420760)"
Sampson,State Park,4,Seneca,Golf,Not Available,http://nysparks.com/parks/154/details.aspx,,,-76.9013257,42.72549002,"(42.72549001870, -76.90132570350)"
Seneca Lake,State Park,4,Ont/Sen,Golf,Available,http://nysparks.com/parks/125/details.aspx,,,-76.95454977,42.8739501,"(42.87395009670, -76.95454977080)"
Sonnenberg Gardens and Mansion,State Historic Park,4,Ontario,Golf,Available,http://nysparks.com/historic-sites/36/details.aspx,,,-77.2721596,42.89814677,"(42.89814677360, -77.27215960070)"
Stony Brook,State Park,4,Steuben,Golf,Not Available,http://nysparks.com/parks/118/details.aspx,,,-77.69296639,42.51855953,"(42.51855952910, -77.69296639290)"
Taughannock Falls,State Park,4,Tompkins,Golf,Not Available,http://nysparks.com/parks/62/details.aspx,,,-76.60976708,42.54073824,"(42.54073823840, -76.60976708320)"
Two Rivers,State Park,4,Tioga,Golf,Not Available,http://nysparks.com/parks/179/details.aspx,,,-76.54731999,42.02516355,"(42.02516354530, -76.54731999330)"
Watkins Glen,State Park,4,Schuyler,Golf,Not Available,http://nysparks.com/parks/142/details.aspx,,,-76.90013376,42.36753974,"(42.36753973990, -76.90013375860)"
Battle Island,State Park,5,Oswego,Golf,Available,http://nysparks.com/parks/44/details.aspx,http://nysparks.com/golf-courses/5/details.aspx,,-76.43604418,43.36167093,"(43.36167093380, -76.43604418290)"
Betty & Wilbur Davis,State Park,5,Otsego,Golf,Not Available,http://nysparks.com/parks/85/details.aspx,,,-74.83290982,42.66363969,"(42.66363969420, -74.83290982380)"
Bowman Lake,State Park,5,Chenango,Golf,Not Available,http://nysparks.com/parks/76/details.aspx,,,-75.6806338,42.51998474,"(42.51998473800, -75.68063380290)"
Canadarago Boat Marine Park,Marine Facility,5,Otsego,Golf,Not Available,,,,-75.01371176,42.81869731,"(42.81869731080, -75.01371176200)"
Chenango Valley,State Park,5,Broome,Golf,Available,http://nysparks.com/parks/41/details.aspx,http://nysparks.com/golf-courses/20/details.aspx,,-75.83623684,42.21554025,"(42.21554025070, -75.83623684010)"
Chittenango Falls,State Park,5,Madison,Golf,Not Available,http://nysparks.com/parks/130/details.aspx,,,-75.84665631,42.98148474,"(42.98148473660, -75.84665631290)"
Clark Reservation,State Park,5,Onondaga,Golf,Not Available,http://nysparks.com/parks/126/details.aspx,,,-76.09300044,42.9975225,"(42.99752250310, -76.09300043590)"
Delta Lake,State Park,5,Oneida,Golf,Available,http://nysparks.com/parks/66/details.aspx,,,-75.42187224,43.29096558,"(43.29096558100, -75.42187224350)"
Fort Ontario,State Historic Site,5,Oswego,Golf,Not Available,http://nysparks.com/historic-sites/20/details.aspx,,,-76.50744715,43.46612424,"(43.46612424410, -76.50744715030)"
Gilbert Lake,State Park,5,Otsego,Golf,Not Available,http://nysparks.com/parks/19/details.aspx,,,-75.13246312,42.586584,"(42.58658399600, -75.13246312460)"
Glimmerglass,State Park,5,Otsego,Golf,Not Available,http://nysparks.com/parks/28/details.aspx,,,-74.86868392,42.79362617,"(42.79362617320, -74.86868391560)"
Green Lakes,State Park,5,Onondaga,Golf,Available,http://nysparks.com/parks/172/details.aspx,http://nysparks.com/golf-courses/14/details.aspx,,-75.9818848,43.04697832,"(43.04697831830, -75.98188480470)"
Helen L. McNitt,Other,5,Madison,Golf,Not Available,,,,-75.87410835,42.97085176,"(42.97085175510, -75.87410834750)"
Herkimer Home,State Historic Site,5,Herkimer,Golf,Available,http://nysparks.com/historic-sites/14/details.aspx,,,-74.81586505,43.02532856,"(43.02532856280, -74.81586505310)"
Hyde Hall,State Historic Site,5,Otsego,Golf,Not Available,http://nysparks.com/historic-sites/11/details.aspx,,,-74.8739967,42.79373333,"(42.79373332960, -74.87399669630)"
John Burroughs Memorial,State Historic Site,5,Delaware,Golf,Available,http://nysparks.com/historic-sites/3/details.aspx,,,-74.58596903,42.29474198,"(42.29474197550, -74.58596903470)"
Lorenzo,State Historic Site,5,Madison,Golf,Available,http://nysparks.com/historic-sites/15/details.aspx,,,-75.86569996,42.92290209,"(42.92290209040, -75.86569996170)"
Mexico Point,State Park,5,Oswego,Golf,Available,,,,-76.25846408,43.5199984,"(43.51999840030, -76.25846407760)"
Mexico Point Marine Park,Marine Facility,5,Oswego,Golf,Available,http://nysparks.com/parks/183/details.aspx,,,-76.25514321,43.52337504,"(43.52337503640, -76.25514320860)"
Old Erie Canal,State Historic Park,5,Onon/Mad/Oneida,Golf,Not Available,http://nysparks.com/historic-sites/32/details.aspx,,,-75.92176935,43.0754747,"(43.07547470480, -75.92176934910)"
Oquaga Creek,State Park,5,Broome/Delaware,Golf,Not Available,http://nysparks.com/parks/27/details.aspx,,,-75.42467935,42.17805145,"(42.17805144910, -75.42467934830)"
Oriskany Battlefield,State Historic Site,5,Oneida,Golf,Not Available,http://nysparks.com/historic-sites/21/details.aspx,,,-75.36671039,43.1767747,"(43.17677469700, -75.36671039240)"
Pixley Falls,State Park,5,Oneida,Golf,Not Available,http://nysparks.com/parks/32/details.aspx,,,-75.34147555,43.40431845,"(43.40431845360, -75.34147555230)"
Robert V. Riddell,State Park,5,Otsego,Golf,Available,http://nysparks.com/parks/18/details.aspx,,,-74.93710757,42.47625451,"(42.47625450820, -74.93710757450)"
Sandy Island Beach,State Park,5,Oswego,Golf,Available,http://nysparks.com/parks/153/details.aspx,,,-76.195665,43.63093161,"(43.63093160520, -76.19566500410)"
Selkirk Shores,State Park,5,Oswego,Golf,Available,http://nysparks.com/parks/84/details.aspx,,,-76.19844002,43.55566201,"(43.55566201050, -76.19844002330)"
State Park at the Fair,Other,5,Onondaga,Golf,Available,http://nysparks.com/parks/82/details.aspx,,,-76.21696591,43.07110463,"(43.07110463170, -76.21696591430)"
Steuben Memorial,State Historic Site,5,Oneida,Golf,Available,http://nysparks.com/historic-sites/2/details.aspx,,,-75.2324893,43.3381057,"(43.33810569960, -75.23248930110)"
Verona Beach,State Park,5,Oneida,Golf,Not Available,http://nysparks.com/parks/102/details.aspx,,,-75.71658659,43.17800825,"(43.17800824900, -75.71658658600)"
Clarence Fahnestock,State Park,7,Putnam,Golf,Not Available,http://nysparks.com/parks/133/details.aspx,,http://www.nysparks.com/environment/nature-centers/3/details.aspx,-73.84764739,41.45275633,"(41.45275633070, -73.84764739280)"
Clermont,State Historic Site,7,Col/Dutch,Golf,Not Available,http://nysparks.com/historic-sites/16/details.aspx,,,-73.91104016,42.08330974,"(42.08330973870, -73.91104015700)"
Clinton House,State Historic Site,7,Dutchess,Golf,Available,http://nysparks.com/historic-sites/1/details.aspx,,,-73.91624471,41.70036495,"(41.70036495400, -73.91624471230)"
Donald J. Trump,State Park,7,Putnam/Westchester,Golf,Not Available,,,,-73.80837178,41.34539868,"(41.34539867750, -73.80837178360)"
Donald J. Trump,State Park,7,Putnam/Westchester,Golf,Not Available,,,,-73.80405211,41.26263355,"(41.26263355270, -73.80405211470)"
Franklin Delano Roosevelt,State Park,7,Westchester,Golf,Not Available,http://nysparks.com/parks/148/details.aspx,,,-73.80875691,41.28230417,"(41.28230417020, -73.80875690520)"
Hart's Brook Nature Preserve & Arboretum,Other,7,Westchester,Golf,Not Available,,,,-73.80806017,41.01796144,"(41.01796144330, -73.80806016760)"
Hudson Highlands,State Park Preserve,7,Dutch/Put,Golf,Not Available,http://nysparks.com/parks/9/details.aspx,,,-73.96211032,41.43375567,"(41.43375567300, -73.96211032090)"
James Baird,State Park,7,Dutchess,Golf,Available,http://nysparks.com/parks/101/details.aspx,http://nysparks.com/golf-courses/1/details.aspx,,-73.79543181,41.6880051,"(41.68800509510, -73.79543181340)"
John Jay Homestead,State Historic Site,7,Westchester,Golf,Not Available,http://nysparks.com/historic-sites/4/details.aspx,,,-73.65880641,41.25034096,"(41.25034095730, -73.65880640870)"
Lake Taghkanic,State Park,7,Columbia,Golf,Not Available,http://nysparks.com/parks/38/details.aspx,,,-73.70588782,42.09288182,"(42.09288181800, -73.70588781880)"
Margaret Lewis Norrie,State Park,7,Dutchess,Golf,Not Available,http://nysparks.com/parks/171/details.aspx,,,-73.93895514,41.84153655,"(41.84153654810, -73.93895513720)"
Ogden & Ruth Livingston Mills,State Park,7,Dutchess,Golf,Available,http://nysparks.com/parks/33/details.aspx,http://nysparks.com/golf-courses/21/details.aspx,,-73.93480595,41.8530054,"(41.85300539520, -73.93480595460)"
Olana,State Historic Site,7,Columbia,Golf,Not Available,http://nysparks.com/historic-sites/23/details.aspx,,,-73.82875957,42.21459514,"(42.21459513810, -73.82875956580)"
Old Croton Aqueduct,State Historic Park,7,Westchester,Golf,Available,http://nysparks.com/parks/96/details.aspx,,,-73.86317128,41.16566387,"(41.16566387170, -73.86317128260)"
Peter Jay,Other,7,Westchester,Golf,Available,http://nysparks.com/historic-sites/39/details.aspx,,,-73.70587755,40.95694601,"(40.95694601390, -73.70587754860)"
Philipse Manor Hall,State Historic Site,7,Westchester,Golf,Available,http://nysparks.com/historic-sites/37/details.aspx,,,-73.89931286,40.93555005,"(40.93555005170, -73.89931286140)"
Quiet Cove Riverfront Park,Other,7,Dutchess,Golf,Available,,,,-73.93449945,41.73322539,"(41.73322538680, -73.93449945000)"
Rockefeller Park Preserve,State Park,7,Westchester,Golf,Available,http://nysparks.com/parks/59/details.aspx,,,-73.83253999,41.10969309,"(41.10969308530, -73.83253998950)"
Staatsburgh,State Historic Site,7,Dutchess,Golf,Available,http://nysparks.com/historic-sites/25/details.aspx,,,-73.9299489,41.85662754,"(41.85662753880, -73.92994890210)"
Taconic,State Park,7,Dutchess,Golf,Available,http://nysparks.com/parks/83/details.aspx,,,-73.51743928,42.07786386,"(42.07786385560, -73.51743928060)"
Taxter Ridge,Other,7,Westchester,Golf,Available,,,,-73.83877677,41.05511939,"(41.05511939330, -73.83877677420)"
Walkway over the Hudson,State Historic Park,7,Dutchess,Golf,Available,http://nysparks.com/parks/178/details.aspx,,,-73.94495089,41.710587,"(41.71058700040, -73.94495088990)"
Wonder Lake,State Park,7,Putnam,Golf,Not Available,,,,-73.64658631,41.49190316,"(41.49190316110, -73.64658631490)"
Bear Mountain,State Park,8,Rockland/Orange,Golf,Not Available,http://nysparks.com/parks/145/details.aspx,,,-73.99240161,41.29900423,"(41.29900423010, -73.99240161230)"
Blauvelt,State Park,8,Rockland,Golf,Not Available,http://nysparks.com/parks/49/details.aspx,,,-73.93737308,41.07424137,"(41.07424136900, -73.93737308340)"
Bristol Beach,State Park,8,Rockland,Golf,Not Available,,,,-73.93253108,42.10837178,"(42.10837178330, -73.93253107910)"
Fort Montgomery,State Historic Site,8,Orange,Golf,Available,http://nysparks.com/historic-sites/28/details.aspx,,,-73.98957246,41.3243022,"(41.32430220480, -73.98957245690)"
Franny Reese Preserve,State Park,8,Ulster,Golf,Available,,,,-73.95596437,41.70146445,"(41.70146444660, -73.95596437460)"
Goosepond Mountain,State Park,8,Orange,Golf,Available,http://nysparks.com/parks/55/details.aspx,,,-74.24664764,41.33752483,"(41.33752482690, -74.24664764090)"
Harriman,State Park,8,Rock/Orange,Golf,Available,http://nysparks.com/parks/145/details.aspx,,,-74.10169996,41.23733048,"(41.23733048350, -74.10169996430)"
Haverstraw Beach,State Park,8,Rockland,Golf,Available,,,,-73.94317048,41.17799181,"(41.17799181180, -73.94317047610)"
High Tor,State Park,8,Rockland,Golf,Available,http://nysparks.com/parks/78/details.aspx,,,-73.98401299,41.19061787,"(41.19061787350, -73.98401298960)"
Highland Lakes,State Park,8,Orange,Golf,Available,http://nysparks.com/parks/5/details.aspx,,,-74.32857545,41.49130058,"(41.49130057890, -74.32857544760)"
Hook Mountain,State Park,8,Rockland,Golf,Available,,,,-73.91588172,41.1517064,"(41.15170640470, -73.91588171800)"
Iona Island,State Park,8,Rockland,Golf,Not Available,,,,-73.9760037,41.3042706,"(41.30427060200, -73.97600369840)"
Knox Headquarters,State Historic Site,8,Orange,Golf,Not Available,http://nysparks.com/historic-sites/5/details.aspx,,,-74.04782194,41.45343523,"(41.45343522520, -74.04782194410)"
Lake Superior,State Park,8,Sullivan,Golf,Not Available,http://nysparks.com/parks/87/details.aspx,,,-74.87942648,41.66793053,"(41.66793052970, -74.87942647960)"
Minnewaska,State Park Preserve,8,Ulster,Golf,Not Available,http://nysparks.com/parks/127/details.aspx,,,-74.29323529,41.71581549,"(41.71581549160, -74.29323529390)"
New Windsor Cantonement,State Historic Site,8,Orange,Golf,Available,http://nysparks.com/historic-sites/22/details.aspx,,,-74.05945727,41.47339278,"(41.47339278130, -74.05945726770)"
Nyack Beach,State Park,8,Rockland,Golf,Not Available,http://nysparks.com/parks/156/details.aspx,,,-73.90865449,41.1271277,"(41.12712769530, -73.90865449420)"
Palisades,State Park,8,Rockland,Golf,Not Available,,,,-73.90354437,41.00004239,"(41.00004238580, -73.90354437080)"
Rockland Lake,State Park,8,Rockland,Golf,Available,http://nysparks.com/parks/81/details.aspx,http://nysparks.com/golf-courses/6/details.aspx,,-73.92191924,41.13621068,"(41.13621068220, -73.92191924450)"
Schunnemunk Mountain,State Park,8,Orange,Golf,Not Available,http://nysparks.com/parks/184/details.aspx,,,-74.10271725,41.40211076,"(41.40211076090, -74.10271725190)"
Senate House,State Historic Site,8,Orange,Golf,Not Available,http://nysparks.com/historic-sites/18/details.aspx,,,-74.01888424,41.93493647,"(41.93493646660, -74.01888424120)"
Sterling Forest,State Park,8,Orange,Golf,Not Available,http://nysparks.com/parks/74/details.aspx,,,-74.24676588,41.21191921,"(41.21191920660, -74.24676587890)"
Stony Point Battlefield,State Historic Site,8,Rockland,Golf,Available,http://nysparks.com/historic-sites/8/details.aspx,,,-73.9763735,41.24109039,"(41.24109039190, -73.97637349730)"
Storm King,State Park,8,Orange,Golf,Not Available,http://nysparks.com/parks/152/details.aspx,,,-73.9913464,41.42564449,"(41.42564449100, -73.99134640200)"
Tallman Mountain,State Park,8,Rockland,Golf,Not Available,http://nysparks.com/parks/119/details.aspx,,,-73.91033132,41.02642268,"(41.02642267600, -73.91033131530)"
Washington's Headquarters,State Historic Site,8,Orange,Golf,Not Available,http://nysparks.com/historic-sites/17/details.aspx,,,-74.00960758,41.49770505,"(41.49770504710, -74.00960757880)"
Alfred E. Smith/Sunken Meadow,State Park,9,Suffolk,Golf,Available,http://nysparks.com/parks/37/details.aspx,http://nysparks.com/golf-courses/13/details.aspx,,-73.26320632,40.90999227,"(40.90999226950, -73.26320632450)"
Amsterdam Beach,State Park,9,Suffolk,Golf,Not Available,,,,-71.90026531,41.04777113,"(41.04777113090, -71.90026531100)"
Bayard Cutting Arboretum,State Park,9,Suffolk,Golf,Not Available,http://nysparks.com/parks/95/details.aspx,,,-73.15775835,40.74724054,"(40.74724053560, -73.15775835320)"
Belmont Lake,State Park,9,Suffolk,Golf,Not Available,http://nysparks.com/parks/88/details.aspx,,,-73.336795,40.7262324,"(40.72623240190, -73.33679499630)"
Bethpage,State Park,9,Nassau,Golf,Available,http://nysparks.com/parks/108/details.aspx,http://nysparks.com/golf-courses/11/details.aspx,,-73.45680354,40.74751741,"(40.74751741050, -73.45680354030)"
Brentwood,State Park,9,Suffolk,Golf,Not Available,,,,-73.27112999,40.79155338,"(40.79155338420, -73.27112999250)"
Brookhaven,State Park,9,Suffolk,Golf,Not Available,http://nysparks.com/parks/180/details.aspx,,,-72.86481657,40.92095004,"(40.92095003770, -72.86481657330)"
Caleb Smith Park Preserve,State Park Preserve,9,Suffolk,Golf,Not Available,http://nysparks.com/parks/124/details.aspx,,http://www.nysparks.com/environment/nature-centers/9/details.aspx,-73.22601645,40.85303798,"(40.85303798080, -73.22601644730)"
Camp Hero,State Park,9,Suffolk,Golf,Available,http://nysparks.com/parks/97/details.aspx,,,-71.8777873,41.06177195,"(41.06177194750, -71.87778729950)"
Captree,State Park,9,Suffolk,Golf,Available,http://nysparks.com/parks/65/details.aspx,,,-73.26127359,40.63885218,"(40.63885218330, -73.26127358590)"
Caumsett,State Historic Park,9,Suffolk,Golf,Available,http://nysparks.com/parks/23/details.aspx,,,-73.46867735,40.92812462,"(40.92812461750, -73.46867734940)"
Cold Spring Harbor,State Park,9,Suffolk,Golf,Available,http://nysparks.com/parks/115/details.aspx,,,-73.46022301,40.86283939,"(40.86283939140, -73.46022300860)"
Connetquot River,State Park Preserve,9,Suffolk,Golf,Available,http://nysparks.com/parks/8/details.aspx,,http://www.nysparks.com/environment/nature-centers/6/details.aspx,-73.14924969,40.76942925,"(40.76942924760, -73.14924968890)"
Gilgo,State Park,9,Suffolk,Golf,Not Available,http://nysparks.com/parks/15/details.aspx,,,-73.34293029,40.6342881,"(40.63428809940, -73.34293029080)"
Hallock,State Park Preserve,9,Suffolk,Golf,Not Available,http://nysparks.com/parks/181/details.aspx,,,-72.59747381,40.99072069,"(40.99072069450, -72.59747380930)"
Heckscher,State Park,9,Suffolk,Golf,Not Available,http://nysparks.com/parks/136/details.aspx,,,-73.16492238,40.70866151,"(40.70866150840, -73.16492237860)"
Hempstead Lake,State Park,9,Nassau,Golf,Not Available,http://nysparks.com/parks/31/details.aspx,,,-73.64242151,40.682314,"(40.68231400130, -73.64242150720)"
Hither Hills,State Park,9,Suffolk,Golf,Not Available,http://nysparks.com/parks/122/details.aspx,,,-72.02131304,41.01605601,"(41.01605601000, -72.02131303600)"
Hither Woods,State Park,9,Suffolk,Golf,Not Available,,,,-71.98933313,41.0313237,"(41.03132370160, -71.98933313460)"
Jones Beach,State Park,9,Nassau,Golf,Available,http://nysparks.com/parks/10/details.aspx,http://nysparks.com/golf-courses/18/details.aspx,http://www.nysparks.com/environment/nature-centers/4/details.aspx,-73.51642732,40.59601085,"(40.59601084800, -73.51642731820)"
Montauk Downs,State Park,9,Suffolk,Golf,Available,http://nysparks.com/parks/29/details.aspx,http://nysparks.com/golf-courses/8/details.aspx,,-71.9385278,41.04928768,"(41.04928768220, -71.93852780020)"
Montauk Point,State Park,9,Suffolk,Golf,Not Available,http://nysparks.com/parks/61/details.aspx,,,-71.88138835,41.07145028,"(41.07145027740, -71.88138834920)"
